ride_id,rideable_type,started_at,ended_at,ride_length,day_of_week,start_station_name,end_station_name,member_casual
21744690,classic_bike,2019-01-02 7:16:05,2019-01-02 7:22:32,0:06:27,4,State St & Kinzie St,Clark St & Ida B Wells Dr,NA
21744691,classic_bike,2019-01-02 7:16:09,2019-01-02 7:24:15,0:08:06,4,Damen Ave & Foster Ave,Damen Ave & Leland Ave,NA
21744693,classic_bike,2019-01-02 7:16:14,2019-01-02 7:20:18,0:04:04,4,Racine Ave & Belmont Ave,Lincoln Ave & Diversey Pkwy,NA
21744694,classic_bike,2019-01-02 7:16:16,2019-01-02 7:40:38,0:24:22,4,Emerald Ave & 31st St,Cityfront Plaza Dr & Pioneer Ct,NA
21744697,classic_bike,2019-01-02 7:16:53,2019-01-02 7:20:06,0:03:13,4,LaSalle St & Jackson Blvd,Daley Center Plaza,NA
21744698,classic_bike,2019-01-02 7:17:00,2019-01-02 7:19:07,0:02:07,4,Kingsbury St & Erie St,Larrabee St & Kingsbury St,NA
21744700,classic_bike,2019-01-02 7:17:13,2019-01-02 7:22:59,0:05:46,4,Morgan Ave & 14th Pl,900 W Harrison St,NA
21744703,classic_bike,2019-01-02 7:17:40,2019-01-02 7:23:35,0:05:55,4,LaSalle St & Jackson Blvd,Franklin St & Lake St,NA
21744704,classic_bike,2019-01-02 7:17:49,2019-01-02 7:30:29,0:12:40,4,Clinton St & Washington Blvd,McClurg Ct & Erie St,NA
21744710,classic_bike,2019-01-02 7:18:27,2019-01-02 7:27:39,0:09:12,4,California Ave & Cortez St,Artesian Ave & Hubbard St,NA
21744711,classic_bike,2019-01-02 7:18:27,2019-01-02 7:26:00,0:07:33,4,Clinton St & Washington Blvd,Michigan Ave & Washington St,NA
21744713,classic_bike,2019-01-02 7:18:36,2019-01-02 7:40:39,0:22:03,4,Ashland Ave & Belle Plaine Ave,Larrabee St & Webster Ave,NA
21744714,classic_bike,2019-01-02 7:18:39,2019-01-02 7:27:29,0:08:50,4,Clinton St & Washington Blvd,State St & Kinzie St,NA
21744715,classic_bike,2019-01-02 7:18:49,2019-01-02 7:21:26,0:02:37,4,Canal St & Adams St,Clinton St & Washington Blvd,NA
21744716,classic_bike,2019-01-02 7:19:04,2019-01-02 7:28:54,0:09:50,4,Columbus Dr & Randolph St,Canal St & Madison St,NA
21744717,classic_bike,2019-01-02 7:19:04,2019-01-02 7:28:10,0:09:06,4,Larrabee St & Division St,Southport Ave & Clybourn Ave,NA
21744719,classic_bike,2019-01-02 7:19:30,2019-01-02 7:28:12,0:08:42,4,Clark St & Bryn Mawr Ave,Ravenswood Ave & Lawrence Ave,NA
21744720,classic_bike,2019-01-02 7:19:33,2019-01-02 7:22:56,0:03:23,4,Damen Ave & Thomas St (Augusta Blvd),Damen Ave & Pierce Ave,NA
21744722,classic_bike,2019-01-02 7:20:04,2019-01-02 7:47:46,0:27:42,4,Artesian Ave & Hubbard St,State St & Pearson St,NA
21744723,classic_bike,2019-01-02 7:20:11,2019-01-02 7:39:28,0:19:17,4,Fairbanks Ct & Grand Ave,Clinton St & Tilden St,NA
21744725,classic_bike,2019-01-02 7:20:43,2019-01-02 7:30:14,0:09:31,4,Canal St & Adams St,Larrabee St & Kingsbury St,NA
21744726,classic_bike,2019-01-02 7:20:43,2019-01-02 7:25:58,0:05:15,4,Lincoln Ave & Sunnyside Ave,Ravenswood Ave & Lawrence Ave,NA
21744727,classic_bike,2019-01-02 7:20:50,2019-01-02 7:37:26,0:16:36,4,Artesian Ave & Hubbard St,Racine Ave (May St) & Fulton St,NA
21744728,classic_bike,2019-01-02 7:20:54,2019-01-02 7:37:34,0:16:40,4,Wells St & Concord Ln,Canal St & Madison St,NA
21744729,classic_bike,2019-01-02 7:21:01,2019-01-02 7:26:13,0:05:12,4,California Ave & North Ave,Damen Ave & Pierce Ave,NA
21744730,classic_bike,2019-01-02 7:21:04,2019-01-02 7:28:59,0:07:55,4,Clinton St & Washington Blvd,Wabash Ave & Adams St,NA
21744731,classic_bike,2019-01-02 7:21:19,2019-01-02 7:46:22,0:25:03,4,Damen Ave & Chicago Ave,Clark St & Lake St,NA
21744732,classic_bike,2019-01-02 7:21:26,2019-01-02 7:30:39,0:09:13,4,Clinton St & Washington Blvd,Kingsbury St & Kinzie St,NA
21744733,classic_bike,2019-01-02 7:22:03,2019-01-02 7:25:31,0:03:28,4,Wacker Dr & Washington St,Daley Center Plaza,NA
21744734,classic_bike,2019-01-02 7:22:06,2019-01-02 7:25:58,0:03:52,4,Warren Park East,Clark St & Lunt Ave,NA
21744735,classic_bike,2019-01-02 7:22:17,2019-01-02 7:30:22,0:08:05,4,Wabash Ave & Roosevelt Rd,Dearborn St & Monroe St,NA
21744737,classic_bike,2019-01-02 7:22:51,2019-01-02 7:35:21,0:12:30,4,Canal St & Jackson Blvd,Columbus Dr & Randolph St,NA
21744738,classic_bike,2019-01-02 7:22:57,2019-01-02 7:30:35,0:07:38,4,Albany Ave & Bloomingdale Ave,Western Ave & Winnebago Ave,NA
21744739,classic_bike,2019-01-02 7:23:18,2019-01-02 7:30:36,0:07:18,4,Albany Ave & Bloomingdale Ave,Western Ave & Winnebago Ave,NA
21744740,classic_bike,2019-01-02 7:23:29,2019-01-02 7:28:08,0:04:39,4,Clinton St & Washington Blvd,Morgan St & Lake St,NA
21744741,classic_bike,2019-01-02 7:23:34,2019-01-02 7:47:29,0:23:55,4,Leavitt St & North Ave,Clinton St & Washington Blvd,NA
21744742,classic_bike,2019-01-02 7:23:38,2019-01-02 7:42:21,0:18:43,4,Lake Shore Dr & Belmont Ave,Lake Shore Dr & Belmont Ave,NA
21744743,classic_bike,2019-01-02 7:23:40,2019-01-02 7:30:34,0:06:54,4,Ashland Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,NA
21744744,classic_bike,2019-01-02 7:23:44,2019-01-02 7:35:06,0:11:22,4,Ashland Ave & 13th St,Washtenaw Ave & Ogden Ave (*),NA
21744745,classic_bike,2019-01-02 7:23:48,2019-01-02 7:28:00,0:04:12,4,Clinton St & Washington Blvd,Morgan St & Lake St,NA
21744746,classic_bike,2019-01-02 7:24:07,2019-01-02 7:40:20,0:16:13,4,Ritchie Ct & Banks St,Clinton St & Madison St,NA
21744747,classic_bike,2019-01-02 7:24:13,2019-01-02 7:31:42,0:07:29,4,Canal St & Adams St,Sangamon St & Washington Blvd (*),NA
21744748,classic_bike,2019-01-02 7:24:22,2019-01-02 7:27:19,0:02:57,4,Paulina Ave & North Ave,Marshfield Ave & Cortland St,NA
21744749,classic_bike,2019-01-02 7:24:25,2019-01-02 7:35:03,0:10:38,4,Canal St & Adams St,Shedd Aquarium,NA
21744750,classic_bike,2019-01-02 7:24:24,2019-01-02 7:35:11,0:10:47,4,Michigan Ave & 14th St,Dearborn St & Adams St,NA
21744751,classic_bike,2019-01-02 7:24:28,2019-01-02 7:34:11,0:09:43,4,Bissell St & Armitage Ave,Larrabee St & Kingsbury St,NA
21744752,classic_bike,2019-01-02 7:24:54,2019-01-02 7:35:37,0:10:43,4,Ogden Ave & Chicago Ave,Canal St & Madison St,NA
21744754,classic_bike,2019-01-02 7:25:06,2019-01-02 7:37:36,0:12:30,4,Racine Ave & Fullerton Ave,Wood St & Milwaukee Ave,NA
